"","X0.2","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X0.3","X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3","X11.3","X12.3"
"1970.5",0,0.0106922166207314,0.134549469823539,0.132815518504736,0.0617323558620174,0.0141267585391865,0.00390829450089431,0.00234275502022988,0.00210923068673691,0.00207167782857804,0.0020657891551152,0.00206563047405612,0.00206776235433439,0,0.00174215281640652,0.122204288374327,0.137542821416811,0.0823738799774705,0.0208288659590989,0.00503635010444259,0.00250837896659748,0.00213485821153775,0.00207590587786254,0.00206633995664471,0.00206549362429948,0.00206756114091458
"1970.75",0,0.00630793693671735,0.0203203590742153,0.022464348545429,0.0213149911217838,0.020135641957969,0.0199230827238325,0.0199162280238702,0.0199254077741011,0.0199316047496647,0.0199356129946797,0.0199381858003932,0.0199417559998933,0,0.00192148591381644,0.0197125591751308,0.0220147742829818,0.0218017136076575,0.0202987866178682,0.019939876798834,0.0199143852158733,0.0199233603287281,0.0199303877736148,0.0199347937132691,0.0199375784826726,0.0199415756849482
"1971",0,0.000508738561967089,0.00360644274895177,0.010108287262434,0.0177147257446226,0.0203820358720062,0.0192490440263454,0.0186562481661922,0.0184968447416952,0.0182345329710446,0.0175248459390719,0.0163489692817412,0.0129855482709046,0,0.000153805839309268,0.00255769591415654,0.00819267873742195,0.0160360891531565,0.0203392150304107,0.0195358571412392,0.0187374607354008,0.0185286747390885,0.0183328665751872,0.0177516980812501,0.0166751063680983,0.0132911228759444
"1971.25",0,0.0162309829715227,0.0896840458794361,0.234084792886026,0.285873803992186,0.153795073566426,0.042433056026061,0.00989407677858154,0.00346021559626442,0.00223201721078142,0.00193336559161638,0.00180067372429175,0.00158664718022581,0,0.00589021049233631,0.0638354835919154,0.196181388182176,0.293896560935459,0.193800430294965,0.0608222219068253,0.0140075891102692,0.004227707816278,0.0023883631508532,0.00198127672919582,0.00182882785474942,0.00160342261785855
"1971.5",0,0.00988643648587779,0.137029147884721,0.140108632701975,0.0703752566936798,0.0178393500376201,0.00419647591785095,0.00173310822377392,0.00132547208219999,0.00125417853237175,0.00124089791729467,0.00123881987774369,0.00124008213754135,0,0.00109409067202509,0.123951561604025,0.143550535284057,0.0913974545724573,0.0259189137806646,0.00585171859118789,0.00201001135514913,0.00137202617153618,0.00126268198316844,0.00124246509633024,0.00123897152873294,0.00123989698880747
"1971.75",0,0.00499113136290534,0.0135294531588422,0.0166729341812742,0.0184197415732753,0.0184782220637254,0.0184993510250661,0.0185269393919237,0.0185412364520151,0.0185483944505147,0.0185525222281927,0.0185551703884845,0.0185588166483354,0,0.00243559637005023,0.0127388505392984,0.0157509318205383,0.0182716555435692,0.01848180870396,0.0184911604338385,0.0185214659882701,0.0185385999278917,0.0185470091442928,0.0185516940265724,0.0185546138311394,0.0185586192275411
"1972",0,0.000650164026287229,0.00463753936402463,0.0119316121646349,0.0199197647749048,0.0230512404447588,0.022463559035702,0.0220817301024496,0.0219621826541621,0.0216621906324964,0.0208204884846759,0.0194234696868902,0.0154282273185326,0,0.000190881793178602,0.00332590567553423,0.0098836901718102,0.0181577348792643,0.0228582223541649,0.0226444457931849,0.0221343424481015,0.021991843154922,0.0217777097088634,0.0210898467972959,0.0198109595345253,0.0157911475031742
"1972.25",0,0.0243402482539086,0.124294778300578,0.284593385699747,0.321256689361889,0.164687206693652,0.045335155617079,0.0112330651706141,0.00453377643141398,0.00324755485199554,0.00291246663173316,0.00273802455257136,0.00242105956012946,0,0.00887479298888801,0.0913309711513474,0.24493101645699,0.336433247257206,0.209041492741738,0.064748411302314,0.0155248452753498,0.00533246316336733,0.00341380530799191,0.00296979830837345,0.00277711614019726,0.00244628204898975
"1972.5",0,0.0282373660470058,0.24931653953257,0.248756074034035,0.112117776342579,0.0225364867672448,0.00461536335350229,0.00208154647507565,0.001723084715302,0.00166539837151713,0.0016549370526298,0.00165318951366813,0.00165385290989131,0,0.0093941164658162,0.225129980078405,0.257958677532072,0.15174753400627,0.034782803725145,0.00650855821877767,0.00234082526722884,0.00176195311584241,0.00167212423987118,0.00165617843325051,0.00165334871937938,0.00165373881625469
"1972.75",0,0.0122157071101849,0.0391040575903884,0.0400063505055533,0.0299544576022071,0.0245994922909005,0.0235995762744011,0.0234821495291917,0.023475346027609,0.0234785134479503,0.0234813311378828,0.0234833289442239,0.0234858271227489,0,0.00380841862144376,0.0379311731092406,0.0407343291408234,0.0325240184017129,0.0253055466110329,0.0236994114048671,0.0234916068767255,0.0234750306589233,0.0234777647735253,0.0234806914199164,0.0234828264165349,0.0234857514087753
