"","FL1.1","FL2.1","FL3.1","FL4.1","FL5.1","FL6.1","FL7.1","FL8.1","FL9.1","FL10.1","FL11.1","FL12.1","FL13.1","FL14.1","FL1.2","FL2.2","FL3.2","FL4.2","FL5.2","FL6.2","FL7.2","FL8.2","FL9.2","FL10.2","FL11.2","FL12.2","FL13.2","FL14.2"
"11",1.46265765824352,0.000119642318045820,0.00747838097416232,0.0171335209547936,0.322366994082139,0,0,0.000279710699745411,0.00069738103596179,0.00319750247346460,0.0102272710778331,0.000198137722036704,0.0235564814955101,0,0.206183754373038,1.15693417781911e-05,0.00105712653070629,0.00143593127735132,0.0427129669244007,0,0,2.12299430845803e-05,5.29678246350357e-05,0.000422022881523573,0.00135029337236481,1.41833751423116e-05,0.00137070121658139,0
"12",0.837129837697856,0.000628664374287274,0.0388564466750146,4.07782935685297e-05,0.169787562072724,0,0,0.0147066767683874,0.0386546581323053,0.0119783298863513,0.00789848328468003,0.123159772659969,0.161523678629577,0,0.011069491707779,5.45301275439689e-06,0.000512738118588477,3.40464645653424e-07,0.00205918428257284,0,0,0.000101196229187258,0.000265755258397386,0.000145299116557879,9.66784987694536e-05,0.000872377219125247,0.00107720905622794,0
"13",0.0141160083773531,0.000642500358293116,1.65252282454561e-05,0.00556925537600994,0,0.0385138181332024,0.442198302796779,0.00321381623375281,0.00652847672790589,0.0017733062382876,0.0294278996444309,0.0599917732070584,0.0667534917277559,0,0.000146320970552833,4.3917067975417e-06,1.75168140998754e-07,3.94292234463165e-05,0,0.000248754918263277,0.00284382615197480,1.77499594723109e-05,3.59896529992282e-05,1.72050633203264e-05,0.000292959410238451,0.000362939802906281,0.000431417978218598,0
"14",0.0205930269154528,0.000601047412034557,0,0.998417225207278,0.638306660478805,0.0128173772607424,0.183073678698640,0.00285217874121192,0.00480501959894200,0.00999709425947192,0.267909876394222,0.0164135837047342,0.0676550142879509,0,0.000132265272431220,2.56346683965643e-06,0,0.00466695897469715,0.00391041056201021,6.03427218163014e-05,0.000860232787137226,9.93970748083136e-06,1.67109730424130e-05,6.16656862313672e-05,0.00164041738731090,6.5857596494799e-05,0.00031846785880697,0
"15",0.258612694546696,6.9742843505695e-05,0.00191249342111378,0.0214924971671643,0.0699849138809832,0,0,0.000568886548636907,0.00156902900321593,0.000353382394620927,0.00123775180816510,8.20731344090909e-05,0.0166090058751168,0,0.000149795807794302,2.64901708466432e-08,1.10908604392036e-06,9.6294360127129e-06,3.99562475067267e-05,0,0,1.81564484115442e-07,5.01041451603648e-07,2.01141476986420e-07,7.04614546800747e-07,3.14839775742313e-08,7.8440582209663e-06,0
"16",0.108811571725864,0.00079573258030173,0.00304497486796026,3.0729039241228e-05,0.0131929458519757,0,0,0.0240271274258194,0.0621434084573605,0.00181125729381488,0.00180137128120229,0.0912185002239719,0.0628567389257572,0,3.14806267193572e-06,1.44230410609851e-08,8.82375039362252e-08,6.97281586961948e-10,3.74641576702437e-07,0,0,3.75862170917518e-07,9.7052634968599e-07,5.10585964673458e-08,5.13336254222123e-08,1.76477194467239e-06,1.51128421570034e-06,0
"17",0.00218454126800147,0.000270362133892402,1.33347168021478e-06,0.000847937260405308,0,0.007312779356844,0.0739716933545447,0.0026095233679619,0.00513337724017814,8.36908901895711e-05,0.00270352484316672,0.0213850320015590,0.0135202169150583,0,3.11405139644044e-08,2.30358691820312e-09,1.93888566938806e-11,9.30120423295781e-09,0,8.42355972576098e-08,8.49974747443959e-07,1.97147614489128e-08,3.87321005093768e-08,1.17017558610371e-09,3.84609841328046e-08,2.00545505519495e-07,1.55717382612975e-07,0
"18",0.00158263665071192,0.00040375951111105,0,0.147947045032984,0.0350132972237324,0.00233089646195744,0.0354629679175,0.00282119232026855,0.0044163465183225,0.000756183319146446,0.0121413656758185,0.00765352502154252,0.0142353478429627,0,4.82293832391227e-09,6.87144701211945e-10,0,3.31122440922529e-07,1.03739132749592e-07,5.33168844506246e-09,8.0926579984626e-08,4.37601428811125e-09,6.83754177939383e-09,2.26134895768866e-09,3.58988895221183e-08,1.46756820064829e-08,3.25291256490347e-08,0
"19",0.0165153745948413,5.31754051727272e-05,0.000106347440621412,0.00316410650320547,0.00636977126261246,0,0,0.000525868131535014,0.00140421895806769,4.23134733699630e-05,0.000140272088755737,6.74835589921931e-05,0.00366780285100226,0,1.26462595806042e-09,2.17500064943151e-12,8.1489639574412e-12,1.80148254820821e-10,4.91837239276021e-10,0,0,2.03521601290627e-11,5.43742468325068e-11,3.25831140499857e-12,1.08020516792845e-11,3.24081882037191e-12,1.99394080589433e-10,0
"20",0.00357184974411919,0.000157525149518234,0.000146162732299909,3.59708651340536e-06,0.00070321394367894,0,0,0.0102424197830370,0.0246936912367158,4.4246858347251e-05,5.96087480806648e-05,0.0200583765911887,0.00723827200512856,0,4.20015837711687e-11,9.41230623296949e-13,1.72462616905534e-12,3.20336704475863e-14,8.3578454792019e-12,0,0,6.03118110342355e-11,1.45134013029685e-10,5.19806187647856e-13,7.07576093557734e-13,1.45872777444444e-10,5.69834521225549e-11,0
