"","FL1","FL2","FL3","FL4","FL5","FL6","FL7","FL8","FL9","FL10","FL11","FL12","FL13"
"15",5.48817803939717e-05,9.62338056577561e-05,0,0,6.714433705423e-11,2.34261406706027e-09,2.02766267335242e-05,0,0.00147922999188805,1.14612901977805e-11,1.97242830402813e-07,2.45874412436814e-09,0
"16",0.000970818254013864,0.000335856781975075,0,5.35465885962549e-05,4.37765081438287e-12,3.30480659324421e-09,0.00211091127686118,0,0.00291650544629344,2.23155213957347e-07,0.0108079605943331,9.21341020798544e-06,0
"17",8.94812392209865e-05,0.00041616814121278,0.0365513737824952,0.00136291854495898,6.49487814761851e-13,1.08979157773265e-08,0.00206218801636257,0.000521887621210536,0.000666228487859111,3.14555574616554e-08,0.0113395141209746,2.91051260410526e-05,0
"18",9.02082165185664e-05,0.000357085361802241,0,0,1.95049122361076e-12,1.79604169455629e-09,0.000575934174826408,0.000499716619346478,0.000826799187218934,0,6.04669099564798e-05,3.20466484932032e-07,0.00669175458716829
"19",0.000192525320439479,0.000164220679948504,0,0,7.79813134862231e-13,1.20289827903534e-09,9.05376194645589e-06,0,0.00135871589442729,7.19529813157423e-10,7.35199835897304e-08,5.40700716892329e-10,0
"20",0.00434848975560618,0.000300110554490701,0,6.80610844248392e-05,7.72618481683693e-13,2.26158724568113e-09,0.00105962778841706,0,0.00307183191988718,9.53500696657763e-06,0.00244272430975457,1.98659639400004e-06,0
"21",0.000364068487472889,0.000246893575408239,0.0478108729133075,0.00359593603953384,1.44757753211797e-12,4.5625775242461e-09,0.000895650635980661,0.00010719589955402,0.000580230428212121,1.42606029113847e-06,0.00258445878104669,7.04078031803321e-06,0
"22",0.000300057268668466,0.000106805725283523,0,0,3.58097425405623e-11,8.42227665293652e-10,0.000197539705076927,9.50049510460441e-05,0.000656794351328612,0,1.27138903161365e-05,9.01178998754873e-08,0.00754731646699502
"23",0.000527731155385154,5.27308998895775e-05,0,0,3.01196019205884e-11,4.49714421145106e-10,2.49324486612341e-06,0,0.00127545264012678,1.17133006549788e-08,1.32837646803274e-08,1.8077235162812e-10,0
"24",0.0103067962971987,7.62712643899348e-05,0,0.000171758283298894,2.06196094603559e-11,6.84998762715232e-10,0.000233405811680639,0,0.00248569397331663,0.00015845603537976,0.000530623726481822,5.34586491456358e-07,0
"25",0.000925986101816111,3.93718671369261e-05,0.0419854362912192,0.00389612177688671,3.29147150681005e-11,1.41793924914579e-09,0.000227583716190985,1.62966564615082e-05,0.000558385957438467,1.82057456825331e-05,0.000539134374187449,8.3077660751371e-07,0
"26",0.00066427218246899,3.14072572240683e-05,0,0,4.60534458863429e-10,1.78115441294794e-10,2.95222313175276e-05,2.83454516939204e-05,0.000479065114748622,0,3.97409557975663e-06,1.09607730198068e-08,0.00788739908320969
"27",0.00100915797251768,1.00578146599734e-05,0,0,2.28388633684452e-10,6.74921798896821e-11,4.69421501078422e-07,0,0.000940386841464076,1.12642635846963e-07,1.53396891567774e-09,1.57143902522556e-11,0
"28",0.0136542600840807,2.22383594265589e-05,0,9.90509213627087e-05,1.46224802663392e-10,1.49268145415785e-10,3.9711106526857e-05,0,0.00239914147085996,0.00137475045405354,0.000105212028544485,7.36153138218172e-08,0
"29",0.000917135730886628,1.66763842526614e-05,0.0296406912102715,0.00276209976157444,1.27222068499507e-10,5.32108662943158e-10,2.5844634515427e-05,4.85200712325528e-06,0.000485903889113024,8.19020584251076e-05,0.000109069606994569,2.49340316089988e-07,0
"30",0.000683911015156311,1.41091905401124e-05,0,0,1.63829615081491e-09,6.89125768374106e-11,4.72588179503377e-06,5.37261568672356e-06,0.000562103133278325,0,7.06157920729579e-07,2.77226149203596e-09,0.0073416123631414
"31",0.000960222851751362,5.29297487248251e-06,0,0,7.62818344000176e-10,3.96791873538187e-11,5.58864188325928e-08,0,0.000812012637793938,5.35740264817335e-07,7.30426838526221e-10,4.21380217773939e-12,0
"32",0.0138428043819906,1.15961954213302e-05,0,6.87463777909195e-05,3.5598904397104e-10,8.88773095272404e-11,4.98221236106177e-06,0,0.00180312501405644,0.00365872145049195,3.02274764894457e-05,2.14412711905596e-08,0
"33",0.000886923556342336,1.329380909045e-05,0.0162826853829718,0.00399104249828462,2.82107104680044e-10,2.96346537425865e-10,3.8109008390734e-06,1.22318367515779e-06,0.000348337782580459,0.000284722474467218,4.64255475025647e-05,1.24427217575309e-07,0
"34",0.000561993611619562,8.40136305327687e-06,0,0,3.11942391893471e-09,6.74594210173403e-11,7.7742082981351e-07,1.23013131724049e-06,0.00039086082059306,0,3.1145102848729e-07,2.06394903614255e-09,0.00638656943606728
"35",0.000753556027135224,5.19610724366663e-06,0,0,1.25757082288418e-09,4.80744103840613e-11,9.29758605518401e-09,0,0.000685818237920631,8.10733311854013e-07,4.40033017291105e-10,5.35846270646596e-12,0
"36",0.0114957581689004,1.04826987158173e-05,0,0.000119423939888831,4.58375409938905e-10,1.00839108249665e-10,8.71791107757722e-07,0,0.00131518558403121,0.00589336080389869,2.32193428660481e-05,2.25739415426151e-08,0
"37",0.000778113481421607,8.59145721503833e-06,0.00903192709810669,0.00279358349172617,3.79469867362007e-10,2.64066219295892e-10,7.88451127650622e-07,3.39880093394132e-07,0.000279315652860488,0.000411986341557572,3.19019944981389e-05,6.4655245920176e-08,0
"38",0.000478874926129336,7.13015758243842e-06,0,0,3.49627262661903e-09,4.69074233761914e-11,1.32385541073812e-07,5.03615166330375e-07,0.000269818827631608,0,2.80127991923899e-07,1.09786095578251e-09,0.00504055494950146
"39",0.000609538535656729,3.21099459160563e-06,0,0,1.18506962183431e-09,2.59053596372653e-11,1.9211653968254e-09,0,0.000466158678542282,1.0462533922893e-06,2.2805082994341e-10,2.41136732583587e-12,0
"40",0.00787568255842566,7.22275604045575e-06,0,6.46301186115772e-05,4.60036796744653e-10,5.89278255613045e-11,1.81784460893902e-07,0,0.00101711096173579,0.0075959783361354,1.5041881404419e-05,1.22752559810286e-08,0
"41",0.000511383228342712,6.61723095603604e-06,0.00506794713870282,0.00177083832293332,3.31615919200564e-10,1.9755878583004e-10,1.5645847575847e-07,1.50778170476296e-07,0.000220216904847774,0.000423669937314983,2.15737463668314e-05,5.00604218575373e-08,0
"42",0.000320703526619819,5.25901102910121e-06,0,0,3.06697317400576e-09,3.04590289442198e-11,3.17737791242851e-08,1.88242232703802e-07,0.000235566543690991,0,1.64327980956483e-07,7.28145190280414e-10,0.00378207599896049
"43",0.000407487595302668,2.28138639576448e-06,0,0,1.08657590042999e-09,1.84327462296186e-11,4.47224752907842e-10,0,0.000354960777874651,1.2523483535956e-06,1.91821572490701e-10,1.50738834081555e-12,0
"44",0.00540405751648801,4.86664349317476e-06,0,4.01401789246705e-05,3.911319840989e-10,4.0263317818977e-11,4.72754896683694e-08,0,0.000736488298982222,0.00712412142858878,9.58655598602733e-06,7.63113524173638e-09,0
